<meta>

    Title = Trematomus 02 - eulepidotus 120mm
    Fish_Length =  122.00
    Fish_Mass =  -99.00
    nsb =  0
    Bladder_Type =  1
    Rotated = u
    Smoothed[lfb,dfb,lsb,dsb] =   0,  0
    Images = L:\fishdat\trematomus\trematomus_eulepidotus_120mm-S1.gif,L:\fishdat\trematomus\trematomus_eulepidotus_120mm-D1.gif
    Preparer = B. Bell and M. Jech from jpegs by Kendra Daly

    raw data

    File created: Sat Jul 13 18:49:41 2002

</meta>
       x       z-upper   z-lower   width      stbd      port
     49.00     10.40    -20.29     17.10      7.62     -9.48
     50.00     10.40    -20.22     16.97      7.54     -9.43
     51.00     10.37    -20.18     16.84      7.44     -9.40
     52.00     10.28    -20.15     16.70      7.34     -9.36
     53.00     10.16    -20.10     16.57      7.25     -9.32
     54.00     10.04    -20.04     16.44      7.15     -9.29
     55.00      9.91    -19.98     16.30      7.05     -9.24
     56.00      9.78    -19.94     16.15      6.97     -9.18
     57.00      9.66    -19.91     16.01      6.87     -9.14
     58.00      9.54    -19.86     15.88      6.77     -9.11
     59.00      9.42    -19.80     15.75      6.68     -9.07
     60.00      9.30    -19.75     15.59      6.58     -9.01
     61.00      9.17    -19.72     15.45      6.48     -8.97
     62.00      9.04    -19.67     15.34      6.40     -8.94
     63.00      8.91    -19.61     15.21      6.31     -8.89
     64.00      8.74    -19.55     15.08      6.22     -8.85
     65.00      8.56    -19.48     14.95      6.12     -8.82
     66.00      8.38    -19.41     14.80      6.02     -8.78
     67.00      8.21    -19.30     14.66      5.94     -8.72
     68.00      8.02    -19.17     14.52      5.84     -8.68
     69.00      7.82    -19.04     14.39      5.74     -8.65
     70.00      7.63    -18.90     14.26      5.65     -8.61
     71.00      7.43    -18.73     14.12      5.57     -8.55
     72.00      7.22    -18.55     13.97      5.48     -8.49
     73.00      7.00    -18.35     13.80      5.38     -8.42
     74.00      6.77    -18.13     13.60      5.28     -8.32
     75.00      6.52    -17.93     13.41      5.20     -8.22
     76.00      6.29    -17.73     13.23      5.10     -8.13
     77.00      6.07    -17.52     13.03      5.00     -8.03
     78.00      5.85    -17.31     12.83      4.91     -7.91
     79.00      5.60    -17.11     12.61      4.81     -7.80
     80.00      5.35    -16.89     12.41      4.71     -7.70
     81.00      5.11    -16.70     12.24      4.63     -7.61
     82.00      4.87    -16.51     12.05      4.54     -7.51
     83.00      4.66    -16.32     11.85      4.46     -7.40
     84.00      4.43    -16.13     11.64      4.36     -7.28
     85.00      4.18    -15.96     11.43      4.26     -7.18
     86.00      3.93    -15.81     11.26      4.17     -7.09
     87.00      3.69    -15.66     11.07      4.07     -6.99
     88.00      3.46    -15.54     10.85      3.97     -6.88
     89.00      3.24    -15.46     10.65      3.89     -6.76
     90.00      3.01    -15.39     10.43      3.79     -6.65
     91.00      2.78    -15.33     10.22      3.69     -6.53
     92.00      2.56    -15.27     10.02      3.60     -6.42
     93.00      2.34    -15.17      9.82      3.51     -6.30
     94.00      2.15    -15.02      9.62      3.43     -6.19
     95.00      1.96    -14.83      9.40      3.33     -6.07
     96.00      1.77    -14.63      9.17      3.23     -5.94
     97.00      1.59    -14.40      8.94      3.15     -5.80
     98.00      1.41    -14.15      8.73      3.06     -5.67
     99.00      1.22    -13.90      8.53      2.97     -5.55
    100.00      1.05    -13.66      8.31      2.89     -5.42
    101.00      0.90    -13.41      8.08      2.80     -5.28
    102.00      0.75    -13.16      7.85      2.70     -5.15
    103.00      0.61    -12.92      7.64      2.61     -5.03
    104.00      0.48    -12.67      7.42      2.52     -4.90
    105.00      0.36    -12.42      7.19      2.43     -4.76
    106.00      0.25    -12.17      6.98      2.35     -4.63
    107.00      0.18    -11.93      6.75      2.25     -4.50
    108.00      0.12    -11.68      6.51      2.15     -4.36
    109.00      0.06    -11.43      6.29      2.06     -4.23
    110.00     -0.00    -11.18      6.06      1.96     -4.10
    111.00     -0.05    -10.97      5.81      1.85     -3.96
    112.00     -0.08    -10.74      5.55      1.73     -3.81
    113.00     -0.11    -10.36      5.27      1.63     -3.64
    114.00     -0.13    -10.04      4.97      1.55     -3.42
    115.00     -0.13    -10.06      4.63      1.45     -3.18
    116.00     -0.13    -10.33      4.24      1.33     -2.91
    117.00     -0.15    -10.67      3.83      1.20     -2.62
    118.00     -0.20    -10.96      3.38      1.06     -2.32
    119.00     -0.32    -11.13      2.92      0.93     -1.99
    120.00     -0.57    -11.10      2.44      0.81     -1.63
    121.00     -2.00     -9.61      1.57      0.50     -1.06
    122.00     -5.53     -5.53      0.00     -0.11     -0.11
